ID Produk,Nama Produk,Kategori,Harga,Stok,Deskripsi
P001,Beras Pandan Wangi 5kg,Sembako,68000,150,"Beras premium dengan aroma wangi dan pulen, cocok untuk kebutuhan harian."
P002,Minyak Goreng Sawit 2L,Sembako,29000,200,"Minyak goreng kemasan botol 2 liter, jernih dan hemat untuk memasak."
P003,Gula Pasir 1kg,Sembako,14500,180,"Gula pasir putih bersih 1kg, cocok untuk memasak dan membuat minuman."
P004,Mie Instan Ayam Bawang (5pcs),Makanan Instan,11500,250,"Paket isi 5 mie instan rasa ayam bawang, favorit keluarga Indonesia."
P005,Sabun Cuci Piring 800ml,Kebutuhan Rumah Tangga,12500,140,"Sabun pencuci piring cair ukuran 800ml, ampuh membersihkan lemak."
P006,Susu UHT Coklat 1L,Minuman,18000,160,"Susu UHT rasa coklat kemasan 1 liter, cocok untuk sarapan dan bekal."
P007,Tissue Gulung 2 Ply (6 Roll),Kebutuhan Rumah Tangga,22000,130,Tissue gulung lembut dan kuat isi 6 roll.
P008,Kopi Instan Sachet (10 pcs),Minuman,10500,190,"Kopi instan dalam sachet, cocok untuk dinikmati kapan saja."
P009,Roti Tawar 350g,Makanan,17500,110,"Roti tawar empuk 350 gram, cocok untuk sarapan dan camilan."
P010,Pasta Gigi 160g,Perawatan Diri,17000,120,"Pasta gigi ukuran 160 gram, menjaga kesehatan gigi dan mulut."
